plateID,wellID,name,Population,Count,ParentCount,PercentParent,RootCount,PercentRoot
A,A01,A01_001_20230323_115713.fcs,/Debris,46349,50000,92.69800000000001,50000,92.69800000000001
A,A01,A01_001_20230323_115713.fcs,/Debris/Singlets,39161,46349,84.49157479125763,50000,78.322
A,A01,A01_001_20230323_115713.fcs,/Debris/Singlets/Live,38896,39161,99.32330635070606,50000,77.792
A,A02,A02_001_20230323_115808.fcs,/Debris,46406,50000,92.812,50000,92.812
A,A02,A02_001_20230323_115808.fcs,/Debris/Singlets,39801,46406,85.76692669051415,50000,79.60199999999999
A,A02,A02_001_20230323_115808.fcs,/Debris/Singlets/Live,39540,39801,99.3442375819703,50000,79.08
A,A03,A03_001_20230323_115853.fcs,/Debris,46286,50000,92.572,50000,92.572
A,A03,A03_001_20230323_115853.fcs,/Debris/Singlets,39926,46286,86.25934407812298,50000,79.852
A,A03,A03_001_20230323_115853.fcs,/Debris/Singlets/Live,39771,39926,99.6117817963232,50000,79.542
A,A04,A04_001_20230323_115945.fcs,/Debris,46562,50000,93.124,50000,93.124
A,A04,A04_001_20230323_115945.fcs,/Debris/Singlets,40748,46562,87.51342296293114,50000,81.496
A,A04,A04_001_20230323_115945.fcs,/Debris/Singlets/Live,40512,40748,99.42083047020712,50000,81.024
A,A05,A05_001_20230323_120038.fcs,/Debris,46680,50000,93.36,50000,93.36
A,A05,A05_001_20230323_120038.fcs,/Debris/Singlets,40351,46680,86.44173093401886,50000,80.702
A,A05,A05_001_20230323_120038.fcs,/Debris/Singlets/Live,40173,40351,99.5588709077842,50000,80.34599999999999
A,A06,A06_001_20230323_120134.fcs,/Debris,44629,48138,92.71054052931156,48138,92.71054052931156
A,A06,A06_001_20230323_120134.fcs,/Debris/Singlets,38599,44629,86.48860606332207,48138,80.18405417757282
A,A06,A06_001_20230323_120134.fcs,/Debris/Singlets/Live,38505,38599,99.75647037488018,48138,79.98878225102828
A,A07,A07_001_20230323_120230.fcs,/Debris,37318,39741,93.90302206788958,39741,93.90302206788958
A,A07,A07_001_20230323_120230.fcs,/Debris/Singlets,32962,37318,88.32734873251515,39741,82.94204977227548
A,A07,A07_001_20230323_120230.fcs,/Debris/Singlets/Live,32857,32962,99.68145136824221,39741,82.67783900757404
A,A08,A08_001_20230323_120326.fcs,/Debris,45097,48490,93.00268096514745,48490,93.00268096514745
A,A08,A08_001_20230323_120326.fcs,/Debris/Singlets,39182,45097,86.88382819256269,48490,80.80428954423593
A,A08,A08_001_20230323_120326.fcs,/Debris/Singlets/Live,39055,39182,99.67587157368179,48490,80.54237987213858
A,A09,A09_001_20230323_120422.fcs,/Debris,42132,45663,92.267262334932,45663,92.267262334932
A,A09,A09_001_20230323_120422.fcs,/Debris/Singlets,36047,42132,85.55729611696573,45663,78.94137485491535
A,A09,A09_001_20230323_120422.fcs,/Debris/Singlets/Live,35964,36047,99.76974505506699,45663,78.75960843571382
A,A10,A10_001_20230323_120518.fcs,/Debris,34685,37496,92.50320034136975,37496,92.50320034136975
A,A10,A10_001_20230323_120518.fcs,/Debris/Singlets,30260,34685,87.2423237710826,37496,80.70194154043098
A,A10,A10_001_20230323_120518.fcs,/Debris/Singlets/Live,30171,30260,99.70588235294117,37496,80.46458288884148
A,A11,A11_001_20230323_120613.fcs,/Debris,46769,50000,93.538,50000,93.538
A,A11,A11_001_20230323_120613.fcs,/Debris/Singlets,41436,46769,88.59714768329448,50000,82.872
A,A11,A11_001_20230323_120613.fcs,/Debris/Singlets/Live,41114,41436,99.22289796312386,50000,82.228
A,A12,A12_001_20230323_120709.fcs,/Debris,31973,34639,92.30347296400011,34639,92.30347296400011
A,A12,A12_001_20230323_120709.fcs,/Debris/Singlets,27904,31973,87.27363713132956,34639,80.55659805421634
A,A12,A12_001_20230323_120709.fcs,/Debris/Singlets/Live,25872,27904,92.71788990825688,34639,74.69037789774532
A,B01,B01_001_20230323_120806.fcs,/Debris,46817,50000,93.634,50000,93.634
A,B01,B01_001_20230323_120806.fcs,/Debris/Singlets,40081,46817,85.61206399384838,50000,80.162
A,B01,B01_001_20230323_120806.fcs,/Debris/Singlets/Live,38651,40081,96.4322247448916,50000,77.302
A,B02,B02_001_20230323_120845.fcs,/Debris,47029,50000,94.05799999999999,50000,94.05799999999999
A,B02,B02_001_20230323_120845.fcs,/Debris/Singlets,40770,47029,86.691190542006,50000,81.54
A,B02,B02_001_20230323_120845.fcs,/Debris/Singlets/Live,40584,40770,99.54378219278881,50000,81.16799999999999
A,B03,B03_001_20230323_120929.fcs,/Debris,46945,50000,93.89,50000,93.89
