"expID","protein","delta_rate","delta_conc"
"DS085","pCD79a (Y182)",0.166666666666667,0.458338181898002
"DS085","pSYK (Y525/Y526)",0.166666666666667,0.629936467299371
"DS085","pPLCy2 (Y759)",0.166666666666667,0.576159636980395
"DS096","pCD79a (Y182)",0.333333333333333,0.726904831876672
"DS096","pSYK (Y525/Y526)",0.333333333333333,1.98862407975835
"DS096","pPLCy2 (Y759)",0.333333333333333,1.21150679509906
"DS097","pCD79a (Y182)",0.166666666666667,0.545253382750006
"DS097","pSYK (Y525/Y526)",0.166666666666667,0.79582610382704
"DS097","pPLCy2 (Y759)",0,0
